UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
104391,1,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",48,"R",900,"R",30,"R",12343,"R",12500,"R",12500,"R",12500,"R",2000,"R",3400,"R",3400,"R",3400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8928,"R",8928,"R",8928,"R",8928,"R",5268,"R",5268,"R",5268,"R",5268,"R",3372,"R",3372,"R",3372,"R",3372,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104434,1,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",19200,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8890,"R",9350,"R",9534,"R",9810,"R",7889,"R",8292,"R",8798,"R",9051,"R",7889,"R",8292,"R",8798,"R",9051,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104443,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",19200,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8085,"R",8499,"R",8752,"R",9085,"R",7176,"R",7533,"R",8073,"R",8384,"R",7176,"R",7533,"R",8073,"R",8384,"12.0413","R",3500,"R",499,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104568,4,"12.0401","A",.,"A",.,"R",1600,1,"R",14,"R",56,"R",900,"R",26,"R",16000,"R",16800,"R",17200,"R",17200,"R",1860,"R",1860,"R",2218,"R",2218,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12698,"R",12698,"R",13090,"R",13090,"R",14112,"R",14112,"R",13090,"R",14532,"R",14112,"R",14112,"R",14532,"R",14532,"12.0409","R",8850,"R",2002,"R",600,1,"R",8,"12.0413","R",2100,"R",1144,"R",350,1,"R",5,"12.0413","R",2100,"R",1074,"R",350,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105215,4,"47.0611","A",.,"A",.,"R",49,2,"R",11,"R",42,"R",30,"R",30,"A",.,"R",19450,"R",19950,"R",22950,"A",.,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7760,"R",8138,"R",7802,"A",.,"R",6878,"R",7214,"R",6920,"A",.,"R",6878,"R",7214,"R",6920,"47.0611","R",21400,"R",215,"R",53,2,"R",11,"47.0611","R",25650,"R",215,"R",63,2,"R",13,"47.0611","R",22800,"R",215,"R",56,2,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105534,18,"51.0701","A",.,"A",.,"R",64,2,"R",19,"R",75,"R",24,"R",30,"R",20964,"R",20964,"R",21092,"R",21206,"R",2487,"R",2451,"R",2334,"R",2326,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",19800,"R",19800,"R",19800,"R",23831,"R",14981,"R",14981,"R",14981,"R",6469,"R",10800,"R",10800,"R",10800,"R",6150,"51.0801","R",14770,"R",788,"R",35,2,"R",9,"51.0701","R",20254,"R",1991,"R",60,2,"R",20,"51.0911","R",21057,"R",2160,"R",60,2,"R",15,"51.0601","R",14626,"R",828,"R",30,2,"R",8,"51.3801","R",46630,"R",3278,"R",80,2,"R",20,
105543,11,"51.0801","A",.,"A",.,"R",34,2,"R",9,"R",35,"R",34,"R",35,"R",12992,"R",13377,"R",14335,"R",14770,"R",799,"R",788,"R",778,"R",788,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7280,"R",7280,"R",7280,"R",11121,"R",4926,"R",4926,"R",6116,"R",3019,"R",1584,"R",4830,"R",6020,"R",2870,"51.0601","R",14626,"R",828,"R",30,2,"R",8,"51.0911","R",39996,"R",2177,"R",96,2,"R",24,"01.8301","R",14190,"R",844,"R",30,2,"R",8,"51.3901","R",22326,"R",1975,"R",44,2,"R",11,"51.0806","R",35395,"R",2161,"R",75,2,"R",19,
105659,6,"15.0403","A",.,"A",.,"R",36,2,"R",10,"R",38,"R",24,"R",30,"R",19350,"R",19924,"R",19924,"R",19924,"R",1675,"R",1654,"R",1654,"R",1654,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10612,"R",10612,"R",10821,"R",10821,"R",8341,"R",8351,"R",8522,"R",8522,"R",5843,"R",5843,"R",6061,"R",6061,"48.0508","R",18085,"R",1006,"R",24,2,"R",7,"47.0201","R",16175,"R",1049,"R",24,2,"R",6,"15.1701","R",29776,"R",3434,"R",63,2,"R",15,"46.0302","R",14648,"R",1372,"R",28,2,"R",7,"46.0302","R",6825,"R",1305,"R",12,2,"R",3,
105677,1,"47.0404","A",.,"A",.,"R",880,1,"R",5,"R",20,"R",900,"R",26,"R",10950,"R",10950,"R",10950,"R",10950,"R",3000,"R",3000,"R",3000,"R",3415,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7660,"R",7915,"R",8025,"R",8290,"R",2725,"R",2800,"R",2925,"R",3000,"R",2745,"R",2825,"R",2875,"R",2930,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106041,12,"47.0604","A",.,"A",.,"R",61,2,"R",13,"R",51,"R",30,"R",30,"R",34900,"R",35750,"R",36800,"R",38100,"R",215,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8963,"R",9410,"R",9881,"R",9473,"R",7956,"R",8351,"R",8759,"R",8402,"R",7956,"R",8351,"R",8759,"R",8402,"47.0604","R",48950,"R",215,"R",90,2,"R",18,"47.0604","R",45450,"R",215,"R",77,2,"R",15,"47.0604","R",47150,"R",215,"R",81,2,"R",16,"48.0508","R",21250,"R",215,"R",36,2,"R",9,"47.0605","R",34950,"R",215,"R",54,2,"R",11,
106111,3,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",19200,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8890,"R",9350,"R",9534,"R",9810,"R",7889,"R",8292,"R",8798,"R",9051,"R",7889,"R",8292,"R",8798,"R",9051,"12.0413","R",3500,"R",499,"R",350,1,"R",3,"12.0409","R",8105,"R",1400,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106315,4,"12.0401","A",.,"A",.,"R",1500,1,"R",10,"R",40,"R",900,"R",30,"R",18690,"R",18690,"R",19805,"R",19805,"R",1250,"R",1250,"R",2000,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11530,"R",11530,"R",11790,"R",11790,"R",6830,"R",6830,"R",7020,"R",7020,"R",3430,"R",3430,"R",3710,"R",3710,"12.0410","R",7416,"R",2000,"R",600,1,"R",6,"12.0413","R",7416,"R",2000,"R",600,1,"R",6,"12.0409","R",7416,"R",2000,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106324,3,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",14400,"R",14400,"R",14400,"R",14400,"R",1275,"R",1275,"R",1275,"R",1275,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7775,"R",7775,"R",7775,"R",7775,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"R",3863,"12.0410","R",5150,"R",595,"R",600,1,"R",6,"12.0413","R",5150,"R",250,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106351,2,"12.0402","A",.,"A",.,"R",1500,1,"R",10,"R",40,"R",900,"R",30,"R",18400,"R",19050,"R",19453,"R",19453,"R",1496,"R",2000,"R",2000,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11530,"R",11530,"R",11530,"R",11530,"R",6990,"R",6990,"R",6990,"R",6990,"R",5190,"R",5190,"R",5190,"R",5190,"12.0413","R",7416,"R",2000,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106360,2,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",13045,"R",12980,"R",14330,"R",14250,"R",2250,"R",2400,"R",1815,"R",2170,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10000,"R",10000,"R",10000,"R",11275,"R",3750,"R",3750,"R",3750,"R",5550,"R",2500,"R",2500,"R",2500,"R",5550,"12.0413","R",3510,"R",177,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106494,2,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",13045,"R",12980,"R",14330,"R",14250,"R",2250,"R",2400,"R",1815,"R",2170,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10000,"R",10000,"R",10000,"R",11275,"R",3750,"R",3750,"R",3750,"R",5550,"R",2500,"R",2500,"R",2500,"R",5550,"12.0413","R",3510,"R",177,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106892,2,"51.0801","A",.,"A",.,"R",23,2,"R",10,"R",40,"R",24,"R",30,"R",10700,"R",10700,"R",10700,"R",12000,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5090,"R",6100,"R",7320,"R",7320,"R",1100,"R",1290,"R",1540,"R",1540,"R",1100,"R",1290,"R",1540,"R",1540,"51.0601","R",10000,"R",0,"R",18,2,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106908,4,"12.0499","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",15500,"R",15500,"R",15500,"R",15500,"R",3550,"R",3550,"R",3925,"R",3925,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15168,"R",16157,"R",18522,"R",17920,"R",7246,"R",10653,"R",10363,"R",10277,"R",1494,"R",5375,"R",6837,"R",6085,"12.0402","R",15500,"R",2400,"R",1500,1,"R",11,"12.0413","R",7500,"R",775,"R",1000,1,"R",7,"12.0413","R",7500,"R",1050,"R",1000,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107099,4,"12.0499","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",13500,"R",15000,"R",15000,"R",15000,"R",795,"R",1495,"R",1495,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11538,"R",11538,"R",11538,"R",11538,"R",5250,"R",5250,"R",5250,"R",5250,"R",5250,"R",5250,"R",5250,"R",5250,"12.0409","R",6000,"R",1250,"R",600,1,"R",5,"12.0413","R",3600,"R",190,"R",600,1,"R",5,"12.0410","R",6000,"R",1250,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107123,1,"51.3801","R",11538,"R",1316,"R",49,2,"R",17,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107220,4,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",13695,"R",15944,"R",15945,"R",16695,"R",3180,"R",1251,"R",1215,"R",1251,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6687,"R",7794,"R",7794,"R",8600,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"R",4300,"12.0410","R",6795,"R",2005,"R",600,1,"R",5,"12.0409","R",6795,"R",2005,"R",600,1,"R",5,"12.0413","R",5700,"R",300,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107293,3,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",13500,"R",15000,"R",15000,"R",16500,"R",2000,"R",1400,"R",1404,"R",1715,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11013,"R",11013,"R",11075,"R",10950,"R",6375,"R",6375,"R",6375,"R",6250,"R",6375,"R",6375,"R",6375,"R",6250,"12.0409","R",6600,"R",1305,"R",600,1,"R",7,"12.0413","R",6600,"R",219,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107442,2,"12.0402","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",15825,"R",15825,"R",15825,"R",15825,"R",1075,"R",1075,"R",1075,"R",1075,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14375,"R",14488,"R",14550,"R",14575,"R",8875,"R",8938,"R",9000,"R",9000,"R",6213,"R",6213,"R",6275,"R",6275,"12.0413","R",7900,"R",350,"R",600,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
107655,2,"12.0499","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",26,"R",14350,"R",14350,"R",14350,"R",18325,"R",1800,"R",1800,"R",1800,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3900,"R",3900,"R",3900,"R",5200,"R",1677,"R",1677,"R",1677,"R",5850,"R",650,"R",650,"R",650,"R",3900,"12.0413","R",7900,"R",0,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
