Acadia University (Wolfville, CN)
Pennsylvania State University &#8212; DuBois Campus (DuBois, PA)
Pennsylvania State University &#8212; Fayette (Lemont Furnace, PA)
Pennsylvania State University &#8212; Greater Allegheny (McKeesport, PA)
Pennsylvania State University &#8212; Harrisburg (Middletown, PA)
Pennsylvania State University &#8212; Hazleton (Hazleton, PA)
Pennsylvania State University &#8212; Lehigh Valley (Center Valley, PA)
Pennsylvania State University &#8212; Mont Alto (Mont Alto, PA)
Pennsylvania State University &#8212; New Kensington (New Kensington, PA)
Pennsylvania State University &#8212; Schuylkill (Schuylkill Haven, PA)
Pennsylvania State University &#8212; Scranton (Dunmore, PA)
Pennsylvania State University &#8212; Wilkes&#8211;Barre Campus (Lehman, PA)
Pennsylvania State University &#8212; York (York, PA)
Peru State College (Peru, NE)
Pittsburg State University (Pittsburg, KS)
Plymouth State University (Plymouth, NH)
Polk State College (Winter Haven, FL)
Prairie View A&M University (Prairie View, TX)
Purdue University Fort Wayne (Fort Wayne, IN)
Purdue University Northwest (Hammond, IN)
Radford University (Radford, VA)
Ramapo College of New Jersey (Mahwah, NJ)
Rhode Island College (Providence, RI)
Roberts Wesleyan College (Rochester, NY)
Roehampton, University of (London, UK)
Rogers State University (Claremore, OK)
Rutgers, the State University of New Jersey &#8212; Camden (Camden, NJ)
SUNY &#8212; Buffalo State (Buffalo, NY)
SUNY &#8212; College of Environmental Science and Forestry (Syracuse, NY)
SUNY &#8212; Cortland (Cortland, NY)
SUNY &#8212; Empire State College (Saratoga Springs, NY)
SUNY &#8212; Fredonia (Fredonia, NY)
SUNY &#8212; Geneseo (Geneseo, NY)
SUNY &#8212; New Paltz (New Paltz, NY)
SUNY &#8212; Old Westbury (Old Westbury, NY)
SUNY &#8212; Oswego (Oswego, NY)
SUNY &#8212; Plattsburgh (Plattsburgh, NY)
SUNY &#8212; Potsdam (Potsdam, NY)
SUNY &#8212; Purchase College (Purchase, NY)
SUNY Cobleskill (Cobleskill, NY)
SUNY College &#8211; Oneonta (Oneonta, NY)
SUNY College of Technology at Canton (Canton, NY)
Saginaw Valley State University (University Center, MI)
Saint Mary's University (Halifax, Nova Scotia, CN)
Salem State University (Salem, MA)
