SUNY &#8212; University at Buffalo (Buffalo, NY): 1938
Saint John's University (Collegeville, MN): 2010
Saint Joseph's University (Philadelphia, PA): 2001
Saint Michael's College (Colchester, VT): 2001
San Diego State University (San Diego, CA): 1974
San Francisco State University (San Francisco, CA): 1977
Santa Clara University (Santa Clara, CA): 1977
Scripps College (Claremont, CA): 1962
Sewanee: The University of the South (Sewanee, TN): 1926
Skidmore College (Saratoga Springs, NY): 1971
Smith College (Northampton, MA): 1904
Southern Methodist University (Dallas, TX): 1949
Southwestern University (Georgetown, TX): 1995
Spelman College (Atlanta, GA): 1997
St. Catherine University (St. Paul, MN): 1938
St. Lawrence University (Canton, NY): 1899
St. Louis University (St. Louis, MO): 1968
St. Mary's College of Maryland (St. Mary's City, MD)
St. Olaf College (Northfield, MN): 1949
Stanford University (Stanford, CA): 1904
Stetson University (Deland, FL): 1982
Swarthmore College (Swarthmore, PA): 1896
Sweet Briar College (Sweet Briar, VA): 1950
Syracuse University (Syracuse, NY): 1896
Temple University (Philadelphia, PA): 1974
Texas A&M University &#8212; College Station (College Station, TX): 2004
Texas Christian University (Fort Worth, TX): 1971
Texas Tech University (Lubbock, TX): 2006
The Catholic University of America (Washington, DC): 1941
The College of New Jersey (Ewing, NJ): 2006
The College of Wooster (Wooster, OH): 1926
The Florida State University (Tallahassee, FL): 1935
The George Washington University (Washington, DC): 1938
The University of Alabama (Tuscaloosa, AL): 1851
The University of Arizona (Tucson, AZ): 1932
The University of New Mexico (Albuquerque, NM): 1965
The University of Texas at Austin (Austin, TX): 1905
The University of Tulsa (Tulsa, OK): 1989
The University of Utah (Salt Lake City, UT): 1935
Trinity College (Hartford, CT): 1845
Trinity University (San Antonio, TX): 1974
Trinity Washington University (Washington, DC): 1971
Truman State University (Kirksville, MO): 2001
Tufts University (Medford, MA): 1892
Tulane University (New Orleans, LA): 1909
Union College (Schenectady, NY): 1817
University of Arkansas (Fayetteville, AR): 1932
University of California &#8212; Los Angeles (Los Angeles, CA): 1930
University of California, Berkeley (Berkeley, CA): 1898
University of California, Davis (Davis, CA): 1968
University of California, Irvine (Irvine, CA): 1974
University of California, Riverside (Riverside, CA): 1965
University of California, San Diego (La Jolla, CA): 1977
University of California, Santa Barbara (Santa Barbara, CA): 1968
University of California, Santa Cruz (Santa Cruz, CA): 1986
University of Chicago (Chicago, IL): 1899
University of Cincinnati (Cincinnati, OH): 1899
University of Colorado, Boulder (Boulder, CO): 1904
University of Connecticut (Storrs, CT): 1956
University of Dallas (Irving, TX): 1989
University of Delaware (Newark, DE): 1956
University of Denver (Denver, CO): 1940
University of Florida (Gainesville, FL): 1938
University of Georgia (Athens, GA): 1914
University of Houston (Houston, TX): 2016
University of Idaho (Moscow, ID): 1926
University of Illinois at Chicago (Chicago, IL): 1977
University of Illinois at Urbana&#8211;Champaign (Champaign, IL): 1907
University of Iowa (Iowa City, IA): 1895
University of Kansas (Lawrence, KS): 1890
University of Kentucky (Lexington, KY): 1926
University of Maine (Orono, ME): 1923
University of Mary Washington (Fredericksburg, VA): 1971
University of Maryland &#8212; Baltimore County (Baltimore, MD): 1998
University of Maryland, College Park (College Park, MD): 1964
University of Massachusetts Amherst (Amherst, MA): 1965
University of Miami (Coral Gables, FL): 1983
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI): 1907
University of Minnesota &#8212; Twin Cities (Minneapolis, MN): 1892
University of Mississippi (University, MS): 2001
University of Missouri &#8212; Columbia (Columbia, MO): 1901
University of Nebraska &#8212; Lincoln (Lincoln, NE): 1895
University of New Hampshire (Durham, NH): 1952
University of North Carolina at Chapel Hill (Chapel Hill, NC): 1904
University of North Carolina at Greensboro (Greensboro, NC): 1934
University of North Dakota (Grand Forks, ND): 1914
University of Notre Dame (Notre Dame, IN): 1968
University of Oklahoma (Norman, OK): 1920
University of Oregon (Eugene, OR): 1923
University of Pennsylvania (Philadelphia, PA): 1892
University of Pittsburgh (Pittsburgh, PA): 1953
University of Puget Sound (Tacoma, WA): 1986
University of Redlands (Redlands, CA): 1977
University of Rhode Island (Kingston, RI): 1977
University of Richmond (University of Richmond, VA): 1929
University of Rochester (Rochester, NY): 1887
University of San Diego (San Diego, CA): 2003
University of South Carolina &#8212; Columbia (Columbia, SC): 1926
University of South Dakota (Vermillion, SD): 1926
University of Southern California (Los Angeles, CA): 1929
University of Tennessee at Knoxville (Knoxville, TN): 1965
University of Vermont (Burlington, VT): 1848
University of Virginia (Charlottesville, VA): 1908
University of Washington, Seattle (Seattle, WA): 1914
University of Wisconsin &#8212; Madison (Madison, WI): 1899
University of Wisconsin &#8212; Milwaukee (Milwaukee, WI): 1974
University of Wyoming (Laramie, WY): 1940
University of the Pacific (Stockton, CA): 2006
Ursinus College (Collegeville, PA): 1992
Valparaiso University (Valparaiso, IN): 2004
Vanderbilt University (Nashville, TN): 1901
Vassar College (Poughkeepsie, NY): 1899
Villanova University (Villanova, PA): 1986
Virginia Polytechnic Institute and State University (Blacksburg, VA): 1977
Wabash College (Crawfordsville, IN): 1898
Wake Forest University (Winston Salem, NC): 1941
Washington & Jefferson College (Washington, PA): 1937
Washington College (Chestertown, MD): 2006
Washington State University (Pullman, WA): 1929
Washington University in St. Louis (St. Louis, MO): 1914
Washington and Lee University (Lexington, VA): 1911
Wayne State University (Detroit, MI): 1953
Wellesley College (Wellesley, MA): 1904
Wells College (Aurora, NY): 1932
Wesleyan University (Middletown, CT): 1845
West Virginia University (Morgantown, WV): 1910
Western Michigan University (Kalamazoo, MI): 1998
Wheaton College (Norton, MA): 1932
Whitman College (Walla Walla, WA): 1920
Willamette University (Salem, OR): 1997
Williams College (Williamstown, MA): 1864
Wilson College (Chambersburg, PA): 1950
Wittenberg University (Springfield, OH): 1992
Wofford College (Spartanburg, SC): 1941
Xavier University (Cincinnati, OH): 2006
Yale University (New Haven, CT): 1780
