Pennsylvania State University &#8212; New Kensington (New Kensington, PA): African Studies; African American Studies; African/African American Studies
Pennsylvania State University &#8212; Schuylkill (Schuylkill Haven, PA): African Studies; African American Studies; African/African American Studies
Pennsylvania State University &#8212; Scranton (Dunmore, PA): African Studies; African American Studies; African/African American Studies
Pennsylvania State University &#8212; Shenango (Sharon, PA): African Studies; African American Studies; African/African American Studies
Pennsylvania State University &#8212; University Park (University Park, PA): African Studies; African American Studies; African/African American Studies
Pennsylvania State University &#8212; Wilkes&#8211;Barre Campus (Lehman, PA): African Studies; African American Studies; African/African American Studies
Pennsylvania State University &#8212; York (York, PA): African Studies; African American Studies; African/African American Studies
Pomona College (Claremont, CA): Africana Studies
Princeton University (Princeton, NJ): African American Studies
Purdue University &#8212; West Lafayette (West Lafayette, IN): African American Studies
Ramapo College of New Jersey (Mahwah, NJ): Africana Studies
Rhode Island College (Providence, RI): Africana Studies
Roosevelt University (Chicago, IL): African American Studies; African American/African Studies
Rowan University (Glassboro, NJ): Africana Studies
Rutgers, the State University of New Jersey &#8211; Camden (Camden, NJ): Africana/Afro-American Studies
Rutgers, the State University of New Jersey &#8211; New Brunswick (Piscataway, NJ): Africana Studies
Rutgers, the State University of New Jersey &#8211; Newark (Newark, NJ): Africana/Afro-American Studies
SUNY &#8212; Albany (Albany, NY): African/Afro-American Studies
SUNY &#8212; Cortland (Cortland, NY): African American Studies
SUNY &#8212; Geneseo (Geneseo, NY): Black Studies
SUNY &#8212; New Paltz (New Paltz, NY): Black Studies
SUNY &#8212; Oneonta (Oneonta, NY): Africana/Latino Studies
SUNY &#8212; University at Buffalo (Buffalo, NY): African American Studies
Saint Louis University (St. Louis, MO): African American Studies
San Diego State University (San Diego, CA): African American Studies
San Francisco State University (San Francisco, CA): Africana Studies
San Jose State University (San Jose, CA): African American Studies
Savannah State University (Savannah, GA): African American Studies
Scripps College (Claremont, CA): Africana Studies; Black Studies; Middle East/North Africa Studies
Seton Hall University (South Orange, NJ): African American Studies; Africana Studies
Simmons University (Boston, MA): Africana Studies
Smith College (Northampton, MA): Africana Studies
Southern Illinois University &#8212; Carbondale (Carbondale, IL): Africana Studies
Southern Methodist University (Dallas, TX): African American Studies
Stanford University (Stanford, CA): African American Studies; African American/African Studies
Stockton University (Galloway, NJ): Africana Studies
Stony Brook University (Stony Brook, NY): Africana Studies
Swarthmore College (Swarthmore, PA): Black Studies
Syracuse University (Syracuse, NY): African American Studies
Temple University (Philadelphia, PA): African American Studies
The College at Brockport, SUNY (Brockport, NY): African American/African Studies
The College of New Jersey (Ewing, NJ): African American Studies
The College of Wooster (Wooster, OH): Africana Studies
The Ohio State University &#8212; Columbus (Columbus, OH): African American/African Studies
The University of Alabama (Tuscaloosa, AL): African American Studies
The University of Alabama at Birmingham (Birmingham, AL): African American Studies
The University of Arizona (Tucson, AZ): Africana Studies
The University of New Mexico (Albuquerque, NM): Africana Studies
The University of Oklahoma (Norman, OK): African American/African Studies
The University of Texas at Austin (Austin, TX): African/African Diaspora Studies
Tufts University (Medford, MA): Africana Studies
Tulane University (New Orleans, LA): African/African Diaspora Studies
Union College (Schenectady, NY): Africana Studies
United States Military Academy (West Point, NY): Foreign Area Studies/Africa
